Counting,Category,Product Name,Link,Image URL
3,Wacky Hats,Cow Hat,https://www.amazon.com/Beistle-60791-Plush-Cow-Head/dp/B000Z4B8LQ/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3afbfb03-37f9-433d-812b-5618f5fce9ff%3Aamzn1.sym.3afbfb03-37f9-433d-812b-5618f5fce9ff&crid=2CHIKMR22S2NR&cv_ct_cx=wacky+hats&keywords=wacky+hats&pd_rd_i=B000Z4B8LQ&pd_rd_r=11ef1922-050b-4e9e-9ff7-275814753a83&pd_rd_w=3jSMR&pd_rd_wg=4eScC&pf_rd_p=3afbfb03-37f9-433d-812b-5618f5fce9ff&pf_rd_r=AYN425MDM8HW3W79Q2WX&qid=1754446301&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=wacky+ha%2Caps%2C320&sr=1-2-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1,https://m.media-amazon.com/images/I/61DtmIK3L7L._AC_SY300_SX300_QL70_FMwebp_.jpg
4,Wacky Hats,Racoon Hat,https://www.amazon.com/Rhode-Island-Novelty-Raccoon-Order/dp/B07F17GXH8/ref=sr_1_26_mod_primary_new?crid=2CHIKMR22S2NR&dib=eyJ2IjoiMSJ9.ITpV5WiKFSYBWddeA76Hhx8bOuUtG8zCieuETqRH_BuzRthKIUZr1jrMxiQKZShxFAoMgEtPzQgKrShy5DWQdP_xap_DNylgrYhh28AI_C6u5Okz_AM5GIO06kF0TOWaBqBhpnAKOsvPZ9maV8ImYCwNh6Qviyb7bUSvEfTvKSugvcIQSUzpeR4CqnlqvofKA3uVMnN8F7dhIzFEDRmJ-Qs4ayAgG1GTJnvfBF6eqPgxruxfEE8ya2sQ0W6Dw5309NlHj-Z3EcgpcfL3Teu_kYy-s0vamxvcUtNtySA38SM.osNuv1O3zpQTe9RuYpGe-E6aV26Sfc9r5nlQIswJVGc&dib_tag=se&keywords=wacky+hats&qid=1754446301&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=wacky+ha%2Caps%2C320&sr=8-26,https://m.media-amazon.com/images/I/61XKesd+0lL._AC_SX679_.jpg
1,Cover Your Senses,Ear Muffs,https://www.amazon.com/Foldable-Reduction-Protection-Cancelling-Earmuffs/dp/B0BLHKLLDX/ref=sr_1_3_sspa?crid=12D3YIZL3ZRHV&dib=eyJ2IjoiMSJ9.RW2iIh2ZfAt5BGxUUikB-mzMI4RToVZieuktSxdcKAmCgnvWqjly6c1MJIknemzMtWbp-aSGttktCN1SkAGBm4ySn2aaI7Irjr-Rq19VOcLFx3cMSEKOyG01AfK5LamK5Fi5oI5yCRYX5ptNpKmxfW_Ez6AeQ24aXbWePysG7b7xiaGDx-Jl0KptZjt3y7crYANGsRaIAxHTZx-liJ3lz4ShodZPJgKVA9Pp7gwNSEPMyvl1JQ1daQeJqea53nN8tSr23lV1ro5hGpto2v1bsj1Z7BjXbAS6WJDE82Vzkl8.oP4TGM1jeJyP0ba-HHXBdmAqHWSPnO_FN8t1iVuXx8c&dib_tag=se&keywords=ear+muffs&qid=1754446531&sprefix=ear+muffs%2Caps%2C165&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,https://m.media-amazon.com/images/I/71ps42nRw3L._AC_SX679_.jpg
2,Cover Your Senses,Blindfold,https://www.amazon.com/Sleeping-Contoured-Blindfold-Concave-Meditation/dp/B07Q6WLX5J/ref=sr_1_9?crid=2X979VCRYLJRN&dib=eyJ2IjoiMSJ9.ntEyaz4__UidtNp8VCQr8ic_FyUqFaVFuPBTSEvDIKLRv5XK_nXqwi9ByGYCABAx7xiTywWzhJegZZOMMWmvCD4ASvRcCLASD7WAxzkPHy-PMR2ojtxQj-6-RgGL0eWa4OojlJdyEg2V62Yc46f7zFK8EJUl3t08Tdr9pI2bIDUQdqzPZtO1z88JjZeTAdtC5KiqcbThaZIntvyQ9o36A7k9SE5QPjzPmF3JXKsi4Xp9F145fQ58DF2eUIqbDZ27Fsi2bFtUfZHfIoRLEeE07C6YMEQ-3P_GCkvIDJLkwls.wFgko7Se481LkXuHAL0A0aEKHAJXQ4hc6fcs02orXdY&dib_tag=se&keywords=eye+mask&qid=1754446569&sprefix=eye+%2Caps%2C206&sr=8-9,https://m.media-amazon.com/images/I/71HeXoaToNL._AC_SY300_SX300_QL70_FMwebp_.jpg
3,Cover Your Senses,Mouth Tape,https://www.amazon.com/Gentle-Transparent-White-Tape-Hypoallergenic/dp/B0DT9J45NP/ref=sr_1_14_sspa?crid=SILM5ODB5SSV&dib=eyJ2IjoiMSJ9.GDY7dgDVK3aMnrIGh1nOZPmG4jWmxPxnJSsO4w_ktroF_9B38RUhQ7M1-tKYcDwzV4v9Scg6bwCL__L0zC5Cdxnd_HD1gtFyMEoKsWepHv4BNlS1cduNXB3WoP3mfqU4OzcUdNwYUeV3qMdezjxfFYYODMUp0IM1ZkTR9KR0YzskRHsKxrnbCVv8gG2-6Kt5ZSmUIX3CDbYPwGxt5QGztjrHV93E4Il8RqdMGzQmlRFqzLQqhX0WPye0_ul38FGPi_ZOaOjDKg1Y7ajPj7dnx98mFCzUliZlO-MRAiGetoQ.adfgd7MNpF8QP3y_RuJR8AxdJkgyPLKVZx10dF8ieKQ&dib_tag=se&keywords=mouth+tape&qid=1754446641&sprefix=mouth+tape%2Caps%2C180&sr=8-14-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/61AHIOpqOcL._AC_SX466_.jpg
4,Cover Your Senses,Nosebleed Plugs,https://www.amazon.com/Tidi-Products-LLC-Nosebleed-Plugs/dp/B003VQ0OHY/ref=sr_1_25?crid=2PNQLFY52PO2C&dib=eyJ2IjoiMSJ9.T-4L-jp2CUjI4BJgtEah1ZYGk3Ueq7XgoAluktmXzK3cx9UGzlWDNCWMHvu7qSasAESTs9DY-HQEyNO8QMYtIfJHzABD31jCPiHHYT-E2hINbamLs2KOgUrp2QeM5gTR9aG2RF0I2t19Xwsf7_vOvu5Hsme5Z12tX65KyPqpZQWnGgbhpy_Tm8flUgr_Drridg_gwSx3zPFTuWwQ7RqLIwxL5q0S5NbheeFXzXF6nxPIXdIysAi2Ga42sW3XAjfY6850pnOT4IXeRn3xw_cQTR4h45dY1PuZGt8ERwgmxlI.92_X9U9CvIiYhhbYCQJjTAV1nfTgAkV_dwy9rV6kvW0&dib_tag=se&keywords=nose+plug&qid=1754446782&sprefix=nose+plug%2Caps%2C177&sr=8-25,https://m.media-amazon.com/images/I/41me-Zw5ZhL.jpg
,,,,
,,,,
,,,,
1,Letters of the Alphabet,Pea,,
